iter	Logloss
0	0.6803701084
1	0.6725584805
2	0.6693489008
3	0.6597535367
4	0.6505342399
5	0.6403566485
6	0.6309310595
7	0.6218513921
8	0.6167190139
9	0.6145312821
10	0.6053312883
11	0.598373658
12	0.5891969969
13	0.5822668428
14	0.5791947216
15	0.5713806281
16	0.5675372529
17	0.5617627842
18	0.5541723371
19	0.5454149867
20	0.5407439296
21	0.5348860204
22	0.5266591683
23	0.5161401759
24	0.5096468727
25	0.504477786
26	0.4984443635
27	0.494331033
28	0.4907457848
29	0.4839270433
30	0.4801143438
31	0.4692152143
32	0.4610210737
33	0.457347853
34	0.4527917176
35	0.4454738518
36	0.4418022821
37	0.4397636841
38	0.4345068673
39	0.4276561648
40	0.4228046576
41	0.4177316119
42	0.4132876863
43	0.4084249566
44	0.403021733
45	0.4002069205
46	0.3954258502
47	0.3893146743
48	0.3842315118
49	0.3815308948
50	0.3752667318
51	0.3680659811
52	0.3641897172
53	0.3577953349
54	0.3517953078
55	0.3473625392
56	0.3415824165
57	0.3388968974
58	0.3351025293
59	0.3293637643
60	0.3244092405
61	0.3197319468
62	0.3156734337
63	0.3104838332
64	0.3071014295
65	0.3022233188
66	0.2975174914
67	0.2945253134
68	0.2904600253
69	0.2861009936
70	0.2822744906
71	0.2791256736
72	0.2764733503
73	0.2730151206
74	0.2696912666
75	0.2663830668
76	0.2640729348
77	0.2610082279
78	0.2584513764
79	0.2549751957
80	0.2525322427
81	0.24922644
82	0.2468859136
83	0.244615822
84	0.2427388956
85	0.2396302968
86	0.2369059245
87	0.2347952108
88	0.2327474385
89	0.2298748026
90	0.2279020548
91	0.2259830842
92	0.2232480188
93	0.2213974496
94	0.2187761148
95	0.2170972864
96	0.2155794899
97	0.2132845988
98	0.2115665595
99	0.2098924061
